Time (s),Target BPM
398.00,78.7
399.00,72.7
400.00,81.7
401.00,85.3
402.00,87.0
403.00,86.1
404.00,82.3
405.00,76.2
406.00,80.4
407.00,77.0
408.00,80.3
409.00,85.4
410.00,80.2
411.00,82.3
412.00,88.0
413.00,80.1
414.00,76.2
415.00,76.0
416.00,85.6
417.00,92.6
418.00,94.7
419.00,92.3
420.00,88.1
421.00,83.2
422.00,80.0
423.00,78.0
424.00,78.6
425.00,79.6
426.00,84.0
427.00,87.8
428.00,88.6
429.00,89.9
430.00,86.8
431.00,84.0
432.00,80.0
433.00,77.3
434.00,75.9
435.00,79.2
436.00,81.6
437.00,84.8
438.00,87.7
439.00,86.3
440.00,89.4
441.00,92.4
442.00,94.3
443.00,94.7
444.00,92.6
445.00,88.5
446.00,86.7
447.00,88.2
448.00,86.2
449.00,77.6
450.00,73.8
451.00,75.3
452.00,83.3
453.00,86.7
454.00,86.9
455.00,84.3
456.00,85.4
457.00,86.0
458.00,87.3
459.00,76.3
460.00,71.2
461.00,67.1
462.00,75.7
463.00,84.2
464.00,94.0
465.00,94.7
466.00,91.8
467.00,78.2
468.00,71.9
469.00,69.6
470.00,76.8
471.00,84.4
472.00,88.4
473.00,83.6
474.00,88.3
475.00,78.9
476.00,73.9
477.00,83.3
478.00,76.9
479.00,83.8
480.00,84.9
481.00,86.3
482.00,80.0
483.00,83.4
484.00,79.3
485.00,81.7
486.00,86.1
487.00,82.9
488.00,87.8
489.00,88.2
490.00,88.9
491.00,77.5
492.00,71.6
493.00,69.3
494.00,77.8
495.00,85.1
496.00,91.5
497.00,89.6
498.00,80.5
499.00,74.5
500.00,72.2
501.00,79.4
502.00,87.3
503.00,94.0
504.00,94.6
505.00,84.6
506.00,83.9
507.00,88.4
508.00,91.1
509.00,96.9
510.00,88.6
511.00,83.0
512.00,86.0
513.00,85.9
514.00,77.1
515.00,83.6
516.00,76.1
517.00,83.5
518.00,86.7
519.00,81.8
520.00,81.4
521.00,76.3
522.00,82.1
523.00,76.8
524.00,85.5
525.00,91.8
526.00,87.4
527.00,95.0
528.00,92.3
529.00,88.1
530.00,78.5
531.00,73.5
532.00,72.3
533.00,80.8
534.00,88.5
535.00,87.0
536.00,86.0
537.00,84.2
538.00,76.9
539.00,75.8
540.00,74.3
541.00,81.5
542.00,88.7
543.00,95.1
544.00,100.0
545.00,97.3
546.00,98.5
547.00,94.9
548.00,93.0
549.00,88.9
550.00,87.6
551.00,84.8
552.00,82.3
553.00,86.0
554.00,78.7
555.00,74.4
556.00,72.6
557.00,79.7
558.00,87.2
559.00,91.6
560.00,92.4
561.00,90.6
562.00,90.1
563.00,89.0
564.00,87.3
565.00,89.6
566.00,87.2
567.00,88.4
568.00,93.8
569.00,98.3
570.00,93.0
571.00,85.4
572.00,85.9
573.00,89.3
574.00,88.8
575.00,87.9
576.00,83.3
577.00,85.4
578.00,87.6
579.00,89.7
580.00,94.9
581.00,92.6
582.00,89.8
583.00,81.7
584.00,80.9
585.00,80.9
586.00,82.8
587.00,93.0
588.00,97.4
589.00,92.5
590.00,90.2
591.00,88.9
592.00,93.8
593.00,67.7
594.00,68.1
595.00,97.7
596.00,91.8
597.00,92.0
598.00,90.7
599.00,93.3
600.00,91.7
601.00,84.0
602.00,83.8
603.00,83.9
604.00,85.5
605.00,94.8
606.00,94.4
607.00,97.8
608.00,101.3
609.00,100.4
610.00,107.5
611.00,103.8
612.00,102.9
613.00,103.0
614.00,93.2
615.00,90.2
616.00,87.2
617.00,84.6
618.00,88.8
619.00,90.4
620.00,93.4
621.00,90.0
622.00,89.4
623.00,88.3
624.00,86.1
625.00,89.7
626.00,88.7
627.00,88.2
628.00,87.1
629.00,86.2
630.00,84.3
631.00,87.1
632.00,89.8
633.00,89.2
634.00,93.0
635.00,90.3
636.00,83.3
637.00,81.3
638.00,80.6
639.00,79.7
640.00,84.7
641.00,86.8
642.00,90.4
643.00,93.2
644.00,94.1
645.00,88.5
646.00,88.0
647.00,86.9
648.00,86.0
649.00,91.0
650.00,92.2
651.00,88.5
652.00,89.5
653.00,89.1
654.00,85.7
655.00,85.2
656.00,83.5
657.00,83.9
658.00,86.0
659.00,85.4
660.00,78.4
661.00,74.5
662.00,75.0
663.00,83.9
664.00,88.3
665.00,91.4
666.00,91.2
667.00,89.0
668.00,89.5
669.00,85.8
670.00,83.7
671.00,83.0
672.00,77.8
673.00,75.5
674.00,75.8
675.00,83.8
676.00,90.0
677.00,91.7
678.00,84.7
679.00,82.6
680.00,81.0
681.00,81.0
682.00,86.8
683.00,90.4
684.00,93.0
685.00,95.0
686.00,96.2
687.00,84.7
688.00,86.1
689.00,87.5
690.00,95.3
691.00,99.4
692.00,101.4
693.00,99.2
694.00,102.9
695.00,96.5
696.00,99.3
697.00,89.0
698.00,86.7
699.00,84.9
700.00,84.0
701.00,90.5
702.00,90.5
703.00,91.4
704.00,89.6
705.00,90.6
706.00,91.8
707.00,89.7
708.00,92.5
709.00,84.7
710.00,79.0
711.00,77.5
712.00,80.4
713.00,85.4
714.00,84.8
715.00,85.9
716.00,81.2
717.00,84.3
718.00,80.9
719.00,85.5
720.00,83.8
721.00,80.3
722.00,83.3
723.00,85.2
724.00,87.4
725.00,82.9
726.00,79.9
727.00,82.1
728.00,83.6
729.00,80.8
730.00,75.7
731.00,74.0
732.00,76.9
733.00,86.1
734.00,91.7
735.00,95.0
736.00,92.9
737.00,82.8
738.00,77.2
739.00,73.1
740.00,76.3
741.00,80.2
742.00,81.8
743.00,84.2
744.00,82.6
745.00,78.9
746.00,79.6
747.00,82.3
748.00,87.0
749.00,91.4
750.00,90.5
751.00,80.9
752.00,76.6
753.00,76.2
754.00,85.7
755.00,92.4
756.00,94.7
757.00,84.2
758.00,88.3
759.00,79.2
760.00,74.7
761.00,94.6
762.00,79.8
763.00,82.0
764.00,79.7
765.00,78.5
766.00,80.7
767.00,80.0
768.00,79.9
769.00,88.0
770.00,84.5
771.00,91.7
772.00,95.1
773.00,101.3
774.00,93.7
775.00,89.2
776.00,96.5
777.00,94.2
778.00,87.7
779.00,85.4
780.00,74.6
781.00,83.0
782.00,92.5
783.00,85.4
784.00,89.1
785.00,78.0
786.00,73.6
787.00,73.0
788.00,81.2
789.00,90.0
790.00,94.7
791.00,96.0
792.00,93.0
793.00,81.4
794.00,75.1
795.00,71.2
796.00,77.0
797.00,83.0
798.00,89.6
799.00,90.9
800.00,87.2
801.00,83.0
802.00,76.3
803.00,78.1
804.00,79.9
805.00,83.0
806.00,92.4
807.00,95.1
808.00,96.3
809.00,85.9
810.00,90.4
811.00,83.6
812.00,80.0
813.00,83.3
814.00,79.8
815.00,84.2
816.00,86.9
817.00,96.5
818.00,94.1
819.00,85.6
820.00,82.9
821.00,87.7
822.00,80.7
823.00,81.3
824.00,84.9
825.00,78.1
